catalog number,date,start time,recordist name,colloquial location,latitude,longitude,recorder number,linked video filenames,Linked audio catalog #,notes,Audited?,Audited,Orientation,
020,2019/4/19,5:47 PM,Sam Cushman,"Upper Campus, three paths that meet.",37.0193,-122.0742,H3-VR,N/A,"22, 24",No GPS signal; best guess from map.,"Yes; Some speech on record, but I think it is okay . . .",N/A,N/A,
021,2019/4/19,6:06 PM,Sam Cushman,"Upper Campus, just SE of “the painted tanks”",37.0100,-122.0661,H3-VR,N/A,"23, 25",No GPS signal; reconstructed from map. Strange Growling in the distance. Woodpecker?,Yes; some speech of passersby.,N/A,N/A,
022,2019/4/19,5:47 PM,Zach Hejny,"Upper Campus, three paths that meet.",37.0197,-122.0742,H3-VR,N/A,"20, 24","No GPS signal; best guess from map. Recorder left on at end by accident, incidental conversation / walking was recorded. Owl as we approach second location.","Yes; Some speech on record, but I think it is okay . . .",N/A,N/A,
023,2019/4/19,6:06 PM,Zach Hejny,"Upper Campus, just NW of “the painted tanks”",37.0101,-122.0664,H3-VR,N/A,"21, 25",No GPS signal; reconstructed from map. Strange Growling in the distance. Woodpecker?,"Yes; Some speech on record, but I think it is okay . . .",N/A,N/A,
024,2019/4/19,5:47 PM,Jon Myers,"Upper Campus, three paths that meet.",37.0194,-122.0735,H3-VR,N/A,"20, 22","No GPS signal; best guess from map. Recorder left on at end by accident, incidental conversation / walking was recorded. Owl as we approach second location.","Yes; Some speech on record, but I think it is okay . . .",N/A,N/A,
025,2019/4/19,6:06 PM,Jon Myers,"Upper Campus, amids / beneath “the painted tanks”",37.0101,-122.0662,H3-VR,N/A,"21, 23",No GPS signal; reconstructed from map. Strange Growling in the distance. Woodpecker?,"Yes; Some speech on record, but I think it is okay . . .",N/A,N/A,
026,2019/4/23,10:26 AM,Jon Myers / Dard Neumann,Krechmer Plaza,36.9931,-122.0601,H3-VR,N/A,27,"one on either side of the plaza, facing the ocean.",Yes. (Zach Hejny interrupts),N/A,N/A,
027,2019/4/23,10:26 AM,Jon Myers / Dard Neumann,Krechmer Plaza,36.9931,-122.0601,H3-VR,N/A,26,"one on either side of the plaza, facing the ocean.",Yes. (Zach Hejny interrupts),N/A,N/A,
028,2019/4/21,11:53 PM,Skylar Liu,Grass field next to Rachel Carson college.,36.9932891,-122.0630112,H3-VR,N/A,N/A,,yes,N/A,N/A,
029,2019/4/20,5:00 PM,Jon Myers,Upper Quary,36.9989,-122.0587,H3-VR,N/A,N/A,,yes,N/A,N/A,
030,2019/4/20,5:09 PM,Jon Myers,Under a bridge beneath McLaughlin drive;  near college 10.,36.9998,-122.0587,H3-VR,N/A,N/A,,yes,N/A,N/A,
031,2019/4/20,5:26 PM,Jon Myers,In a redwood grove; upper campus,37.0025,-122.0616,H3-VR,N/A,N/A,no gps signal . . . did my best at the time. Nothing much going on here in this recording . . .,yes,N/A,N/A,
032,2019/4/20,5:46 PM,Jon Myers,seep zone interpretive trail # 09,,,H3-VR,N/A,N/A,no gps signal . . . did my best at the time. Nothing much going on here in this recording . . .,yes,N/A,N/A,
033,2019/4/20,5:55 PM,Jon Myers,above seep zone interpretive trail,,,H3-VR,N/A,N/A,crazy sounding dead Tree! no gps signal . . . did my best at the time. Nothing much going on here in this recording . . .,yes,N/A,N/A,
034,2019/4/21,10:04 AM,Jon Myers,Krechmer Plaza entry corridor,36.9934,-122.0602,H3-VR,N/A,N/A,,yes,N/A,N/A,
035,2019/4/21,10:17 AM,Jon Myers,point of triangle behind music center,36.9928,-122.0599,H3-VR,N/A,N/A,,yes,N/A,N/A,
036,2019/4/22,2:30 PM,Miranda Barbiere,east field meadow,36.9928,-122.0591,H3-VR,N/A,N/A,She seems to be walking around ??!! Are those cows?,yes,N/A,N/A,
037,2019/4/16,12:52 PM,Mustafa Walker,Woods between Rachel Carson College and Music Center,36.99,-122.06,H3-VR,N/A,N/A,Should try get better coordinates somehow . . .,yes,N/A,N/A,
038,2019/4/20,11:35 AM,Mustafa Walker,Upper Quary,36.9987,-122.0578,H3-VR,N/A,N/A,,yes,N/A,N/A,
039,2019/4/20,12:11 PM,Mustafa Walker,West Fork; Jordan Gultch,37.0025,-122.0604,H3-VR,N/A,N/A,,yes,N/A,N/A,
040,2019/4/20,1:01 PM,Mustafa Walker,Amphitheater behind theater department,36.9959,-122.0620,H3-VR,N/A,N/A,,yes,N/A,N/A,
041,2019/4/30,9:40 AM,Daniel Augenbaugh ,Hill below the recital hall.,36.9911,-122.0611,H3-VR,N/A,N/A,,yes,N/A,N/A,
042,2019/4/23,11:22 AM,Max Green,,36.9934,-122.0601,H3-VR,N/A,N/A,gamelan drums; cicadas,Yes; watch out for speech at end!,N/A,N/A,
043,2019/4/23,11:48 AM,Max Green,,36.9939,-122.0624,H3-VR,N/A,N/A,Cicadas!!! (and cars),yes,N/A,N/A,
044,2019/4/25,5:50 PM,Catalina Castro,Pogonip Trail,36.9900,-122.041,H3-VR,N/A,N/A,,yes,N/A,N/A,
045,2019/5/4,5:54 PM,Catalina Castro,Porter Meadows,36.9948,-122.0680,H3-VR,N/A,N/A,,yes,N/A,N/A,
046,2019/5/4,6:00 PM,Catalina Castro,Porter Meadows,36.9948,-122.0680,H3-VR,N/A,N/A,,yes,N/A,N/A,
047,2019/5/7,10:50 AM,Max Green,,36.9911,-122.0614,H3-VR,N/A,N/A,,yes,N/A,N/A,
048,2019/5/7,11:30 AM,Max Green,Porter Dining Hall,36.9953,-122.0660,H3-VR,N/A,N/A,,yes,N/A,N/A,
049,2019/5/15,9:16 AM,Max Green,,36.997,-122.061,H3-VR,N/A,N/A,Rain!,yes,N/A,N/A,
050,2019/5/17,3:33 PM,Jon Myers,"Mitchell’s Cove, off West Cliff Drive",36.9525,-122.0416,H3-VR,,N/A,"Dogs, Ocean",yes,N/A,N/A,
051,2019/5/17,3:41 PM,Jon Myers,"Mitchell's Cove, off West Cliff Drive",36.9520,-122.0420,H3-VR,,N/A,"Dog, waterfall, ocean.",yes,N/A,N/A,
052,2019/5/17,4:25,Jon Myers,Near Maze off Spring Trail in Pogonip,36.9923,-122.0488,H3-VR,N/A,N/A,Cicadas. walkers.,yes. (Some random chatter; I think it is fine to post),N/A,N/A,
053,2019/5/17,4:34,Jon Myers,Spring Trail in Pogonip,36.9943,-122.0488,H3-VR,N/A,N/A,Wind. Birds.,Yes.,N/A,N/A,
054,2019/5/17,4:52 PM,Jon Myers,Above a spring along Spring Trail in Pogonip.,36.9971,-122.0489,H3-VR,,N/A,Creek.,Yes.,N/A,N/A,
055,2019/5/17,5:09 PM,Jon Myers,"Brayshaw Trail, Pogonip",36.9970,-122.0465,H3-VR,N/A,N/A,Birds.,Yes.,N/A,N/A,
056,2019/5/17,5:24 PM,Jon Myers,"Brayshaw Trail, Pogonip",36.9970,-122.0462,H3-VR,N/A,N/A,Birds. Cicadas,Yes.,N/A,N/A,
057,2019/5/18,11:22 AM,Jon Myers,1911 Looff Carousel at the Santa Cruz Boardwalk,36.9642,-122.0185,H3-VR,,N/A,"Band Organs, PA system, some chatter (asking permission). Moving around to get in Queue at the end.",Yes.,N/A,N/A,
058,2019/5/18,11:29 AM,Jon Myers,1911 Looff Carousel at the Santa Cruz Boardwalk,36.9642,-122.0185,H3-VR,,N/A,"Band Organs, PA System, people throwing rings, screaming, riding on the ride. ",Yes.,N/A,N/A,
059,2019/5/15,12:41 PM,Iam Bhisitkul,Upper Quarry (Behind the Amphitheater),36.9988,-122.0579,H3-VR,N/A,N/A,,yes,N/A,N/A,
060,2019/5/28,1:46 PM,Jon Myers,Behind the Music Center,36.9929,-122.0604,H3-VR,N/A,N/A,,yes,N/A,N/A,
061,2019/5/5,6:05 PM,Albert Peacock,Under the bridge connecting Science Hill to College 9/10,37.0001,-122.0596,H3-VR,N/A,N/A,,yes,N/A,N/A,
062,2019/6/1,5:22 PM,Jon Myers,"Seaview and Logan, in Seabright, Santa Cruz.",36.969,-122.0116,H3-VR,N/A,N/A,Mockingbird; documentation at the end of recording.,yes,N/A,N/A,
063,2019/6/3,9:39 AM,Jon Myers,,36.9961,-122.0612,H3-VR,N/A,N/A,,yes,N/A,N/A,
064,2019/6/3,9:55 AM,Jon Myers,"outside Norris center for Natural history, across from Science Library",36.9987,-122.0606,H3-VR,N/A,N/A,Noise / vent,yes,N/A,N/A,
065,2019/6/3,10:14 AM,Jon Myers,outside Marine Sciences building.,36.998,-122.0603,H3-VR,N/A,N/A,,yes,N/A,N/A,
066,2019/5/5,7:00 PM,Albert Peacock,Entrance to Bike path by Music Center. ,36.9926,-122.0605,H3-VR,N/A,N/A,,yes,N/A,N/A,
067,2019/5/5,7:05 PM,Albert Peacock,Entrance to Bike path by Music Center. ,36.9926,-122.0605,H3-VR,N/A,N/A,,yes,N/A,N/A,
068,2019/5/12,7:29 PM,Albert Peacock,Grass behind McHenry Library,36.9956,-122.0594,H3-VR,N/A,N/A,,yes,N/A,N/A,
069,2019/5/12,7:53 PM,Albert Peacock,Top Floor of Core West Parking Structure,36.9992,-122.0638,H3-VR,N/A,N/A,,yes,N/A,N/A,
070,2019/5/29,1:44 PM,Krista Dugan,Cow Pasture,36.9942,-122.0604,H3-VR,N/A,N/A,cicadas,yes,N/A,N/A,
071,2019/5/29,2:26 PM,Krista Dugan,Oakes to Music center trail,36.9911,-122.0633,H3-VR,N/A,N/A,,yes,N/A,N/A,
072,2019/5/29,3:13 PM,Krista Dugan,Porter Meadows,36.9956,-122.0678,H3-VR,N/A,N/A,cicadas,yes,N/A,N/A,
073,2019/5/29,4:06 PM,Krista Dugan,Under the bridge connecting science hill to classroom unit 2,36.9978,-122.0578,H3-VR,N/A,N/A,,,N/A,N/A,
074,2019/5/29,6:20 PM,Krista Dugan,Trail by Cowell Stevenson Bus Stop,36.9961,-122.0560,H3-VR,N/A,N/A,,yes,N/A,N/A,
075,2019/5/12,8:54 PM,Albert Peacock,Bench in Porter Meadows,36.9992,-122.0638,H3-VR,N/A,N/A,mostly silent,yes,N/A,N/A,
076,2019/5/12,8:56 PM,Albert Peacock,Bench in Porter Meadows,36.9960,-122.0678,H3-VR,N/A,N/A,mostly silent,yes,N/A,N/A,
077,2019/5/17,7:38 PM,Albert Peacock,Santa Cruz Wharf,36.9573,-122.0173,H3-VR,N/A,N/A,great sea lions and water fowl. No attribution.,"yes; Some speech, but lots of speechless sections",N/A,N/A,
078,2019/5/17,7:58 PM,Albert Peacock,Santa Cruz Wharf,36.9573,-122.0173,H3-VR,N/A,N/A,great sea lions and water fowl. No attribution.,"yes, just a little bit of speech",N/A,N/A,
079,2019/5/19,6:33 PM,Albert Peacock,The Painted Barrels (on upper campus),37.0099,-122.0661,H3-VR,N/A,N/A,,yes,N/A,N/A,
080,2019/5/19,6:37 PM,Albert Peacock,The Painted Barrels (on upper campus),37.0099,-122.0661,H3-VR,N/A,N/A,"(again, with higher gain)",yes,N/A,N/A,
081,2019/5/20,3:58 PM,Albert Peacock,Woodshop in art center,36.9948,-122.0609,H3-VR,N/A,N/A,canned music. Is posting of copywritten material okay?,yes,N/A,N/A,
082,2019/5/20,4:04 PM,Albert Peacock,Woodshop in Art Center,36.9948,-122.0609,H3-VR,N/A,N/A,canned music. Is posting of copywritten material okay?,yes,N/A,N/A,
083,2019/5/20,4:39 PM,Albert Peacock,"Outside of the Foundry, Theater arts dept.",36.9955,-122.0622,H3-VR,N/A,N/A,,yes,N/A,N/A,
084,2019/5/28,10:53 AM,Albert Peacock,"Koi Pond, Porter College.",36.9942,-122.0651,H3-VR,N/A,N/A,,yes,N/A,N/A,
085,2019/5/28,5:10 PM,Claudio Sangeroki,Porter Quad,36.9953,-122.0653,H3-VR,N/A,N/A,distortion / hand sounds in first few minutes?,yes,N/A,N/A,
086,2019/5/28,5:15 PM,Claudio Sangeroki,Porter Quad,36.9949,-122.0649,H3-VR,N/A,N/A,,yes,N/A,N/A,
087,2019/5/28,5:30 PM,Claudio Sangeroki,"Koi Pond, Porter College.",36.9940,-122.0652,H3-VR,N/A,N/A,,yes,N/A,N/A,
088,2019/5/28,5:44 PM,Claudio Sangeroki,Bridge in front of Kerr Hall Bus Stop,36.9968,-122.0642,H3-VR,N/A,N/A,,yes,N/A,N/A,
089,2019/6/5,3:06 PM,Jon Myers,McHenry Viaduct,36.9963,-122.0579,H3-VR,N/A,N/A,"Footsteps reverberating through bridge, into mics . . . Not airborne sound, more vibratory sound","yes; some speech, pretty innocuous.",N/A,N/A,
090,2019/6/5,3:12 PM,Jon Myers,"Upper deck, north-facing side of Hahn Student Services",36.9963,-122.057,H3-VR,N/A,N/A,not much going on.,"yes; some speech, pretty innocuous.",N/A,N/A,
091,2019/6/5,3:21 PM,Jon Myers,Gultch below Hagar Drive,36.9962,-122.0559,H3-VR,N/A,N/A,Great single bird.,yes,N/A,N/A,
092,2019/6/5,4:30 PM,Jon Myers,Gultch below Hagar Drive,36.9957,-122.0563,H3-VR,N/A,N/A,Buzzing Cicada?,yes,N/A,N/A,
093,2019/6/6,11:09 AM,Jon Myers,College 10 outside Building DC,37.0005,-122.0578,H3-VR,N/A,N/A,,"yes; some speech, pretty innocuous.",N/A,N/A,
094,2019/5/31,3:34 PM,Albert Peacock,"Center of Trailer Park, near Kresge college.",37.0011,-122.0656,H3-VR,N/A,N/A,Cicadas!,"yes; some speech, pretty innocuous.",N/A,N/A,
095,2019/5/31,3:38 PM,Albert Peacock,Trailer Park on Campus,37.0011,-122.0656,H3-VR,N/A,N/A,Cicadas!,"yes; some speech, pretty innocuous.",N/A,N/A,
096,2019/5/31,4:17 PM,Albert Peacock,,,,H3-VR,N/A,N/A,Cicadas!,yes,N/A,N/A,
097,2019/6/12,10:06 AM,Jon Myers,Heller Drive Trailhead,37.0034,-122.0660,H3-VR,N/A,N/A,,yes,North,N/A,
098,2019/6/12,10:21 AM,Jon Myers,Upper Campus,37.0047,-122.0678,H3-VR,N/A,N/A,,yes,North,274,
099,2019/6/12,10:30 AM,Jon Myers,Upper Campus,37.0061,-122.0685,H3-VR,N/A,N/A,chatting humans nearby,yes,North,283,
100,2019/6/12,10:39 AM,Jon Myers,Upper Campus,37.0065,-122.0665,H3-VR,N/A,N/A,train in the distance; great birds,yes,North,291,
101,2019/6/12,10:50 AM,Jon Myers,Upper Campus,37.0067,-122.0649,H3-VR,N/A,N/A,,yes,North,296,
102,2019/6/16,7:37 PM,Jon Myers,Natural Bridges,36.9524,-122.0578,H3-VR,N/A,N/A,,yes,North,7,
103,2019/6/16,8:00 PM,Jon Myers,Homeless community Farm,36.9559,-122.0625,H3-VR,N/A,N/A,,yes,North,16,
104,2019/6/18,7:04 PM,Jon Myers,top of Pogonip,37.0016,-122.0507,H3-VR,N/A,N/A,,yes,North,220,
105,2019/6/18,7:16 PM,Jon Myers,Pogonip,37.0041,-122.0511,H3-VR,N/A,N/A,,yes,North,211,
106,2019/6/18,7:30 PM,Jon Myers,Pogonip,37.0044,-122.0517,H3-VR,N/A,N/A,Crow Duel,yes,North,230,
107,2019/6/18,7:59 PM,Jon Myers,Pogonip,37.0012,-122.0111,H3-VR,N/A,N/A,,yes,North,228,
108,2019/5/28,4:14 PM,Music 167,Empire Cave,36.9961,-122.0688,H3-VR,N/A,"109, 110, 111, 112,",,yes,N/A,N/A,
109,2019/5/28,4:14 PM,Music 167,Empire Cave,36.9961,-122.0688,H3-VR,N/A,"108, 110, 111, 112",,yes,N/A,N/A,
110,2019/5/28,4:14 PM,Music 167,Empire Cave,36.9961,-122.0688,H3-VR,N/A,"108, 109, 111, 112",,yes,N/A,N/A,
111,2019/5/28,4:14 PM,Music 167,Empire Cave,36.9961,-122.0688,H3-VR,N/A,"108, 109, 110, 112",,yes,N/A,N/A,
112,2019/5/28,4:14 PM,Music 167,Empire Cave,36.9961,-122.0688,H3-VR,N/A,"108, 109, 110, 111",,yes,N/A,N/A,
113,2019/4/23,4:15 PM,Music 167,The Great Meadow,36.9927,-122.0577,H3-VR,N/A,"114, 115, 116, 117, 118",Cows rolling through,yes,N/A,N/A,
114,2019/4/23,4:15 PM,Music 167,The Great Meadow,36.9927,-122.0577,H3-VR,N/A,"113, 115, 116, 117, 118",Cows rolling through,yes,N/A,N/A,
115,2019/4/23,4:15 PM,Music 167,The Great Meadow,36.9927,-122.0577,H3-VR,N/A,"113, 114, 116, 117, 118",Cows rolling through,yes,N/A,N/A,
116,2019/4/23,4:15 PM,Music 167,The Great Meadow,36.9927,-122.0577,H3-VR,N/A,"113, 114, 115, 117, 118",Cows rolling through,yes,N/A,N/A,
117,2019/4/23,4:15 PM,Music 167,The Great Meadow,36.9927,-122.0577,H3-VR,N/A,"113, 114, 115, 116, 118",Cows rolling through,yes,N/A,N/A,
118,2019/4/23,4:15 PM,Music 167,The Great Meadow,36.9927,-122.0577,H3-VR,N/A,"113, 114, 115, 116, 117",Cows rolling through,yes,N/A,N/A,
119,2019/10/8,4:40 PM,Timothy Min,"In a little cavern surrounded by trees, beside a man-made tiki [sik]",37.0189,-122.0789,H3-VR,N/A,N/A,,no,151,341,
120,2019/10/8,4:48 PM,Timothy Min,Next to a very big fallen tree with a decent amount of poison oak around; right next to a very big dip in the forrest.,37.0193,-122.0783,H3-VR,N/A,N/A,,no,14,337,
121,2019/10/29,6:29 PM,Mikki Lim,At a table in the Science Hill Red Brick Plaza ,36.9991,-122.0613,H3-VR,N/A,N/A,,no,80,252,
122,2019/10/30,1:20 PM,Mikki Lim,On a bench at the College 9/10 Bus stop (going west). ,36.9999,-122.0584,H3-VR,N/A,N/A,,no,136,245,
123,2019/10/30,6:45 PM,Mikki Lim,Center of the Oakes Bridge,36.9895,-122.0638,H3-VR,N/A,N/A,,,169,176,
124,2019/10/31,9:39 AM,Mikki Lim,On the deck on the 3rd floor of the student union building located at the UC Santa Cruz Quarry.,36.9977,-122.0554,,,,,,95,213,
125,2019/10/31,11:25 AM,Mikki Lim,"Inside the Bay Tree Bookstore, on the stairs.",36.9981,-122.0555,,,,,,166,211,
126,2019/10/31,12:21 PM,Mikki Lim,"In one of the chairs at Baskin Engineering close to the hallway, next to the Perk coffee bar. ",37.0007,-122.0629,,,,,,346,246,
127,2019/10/8,4:46 PM,Kieren Breiden,Near a bend in the trail on Upper Campus,37.0181,-122.0762,,,,,,289,338,
128,2019/10/8,5:03 PM,Kieren Breiden,Amidst some trees on a Bike Path on Upper Campus.,37.0190,-122.0763,,,,,,155,336,
129,2019/10/23,5:31 PM,John Jezek,"On a bike trail near OPERS field, bus stop behind, forest to the front. ",36.9952,-122.0558,,,,,,249,198,
130,2019/10/23,5:47 PM,John Jezek,"A little ways away from Cowell college, in the forest, in a little ravine. A deer is at 2 o’clock. A bus stop is at 7 o’clock.",36.9982,-122.0551,,,,,,215,205,
131,2019/10/24,2:45 PM,John Jezek,"Somewhere in Pogonip forest, next to Stevenson and Cowell colleges",36.9840,-122.0409,,,,,,285,186,
132,2019/10/27,12:43 PM,John Jezek,"On a bike trail near OPERS field, bus stop behind, forest to the front. Power is out, generator to the back left. Trees creaking. ",36.9963,-122.0561,,,,,,215,203,
133,2019/11/5,2:21 PM,Qian Wen Chen,Under a tree near the rear of the library. ,36.995,-122.0589,,,,,,261,207,
134,2019/11/5,2:43 PM,Qian Wen Chen,At the path leading from Thimann Lecture Hall to McHenry Library; near parking lot 141,36.9969,-122.0608,,,,,,339,218,
135,2019/11/5,2:48 PM,Qian Wen Chen,On a path leading from Thimann Lecture Hall to McHenry Library; there is also a parking lot (141) next to this path. ,36.9969,-122.0608,,,,,,339,218,
136,2019/11/5,3:33 PM,Qian Wen Chen,"In front of the main entrance of Clark Kerr hall, under a tree.",36.9972,-122.0618,,,,,,83,223,
137,2019/11/7,1:16 PM,Qian Wen Chen,At the middle of the OPERS East field.,36.9941,-122.0525,,,,,,167,196,
138,2019/11/7,2:00 PM,Qian Wen Chen,At the path leading from Oakes academic building to Kerr Road and Meyer Drive; next to OPERS West Gym and Rachel Carson Meadow,36.9916,-122.063,,,,,,144,200,
139,2019/11/7,2:16 PM,Qian Wen Chen,At the path leading from Oakes academic building to Kerr Road and Meyer Drive; next to OPERS West Gym and Rachel Carson Meadow,36.9915,-122.0629,,,,,,163,185,
140,2019/10/8,4:43 PM,Iam Bhisitkul,Wilder Ranch,37.0157,-122.0834,,,,,,142,334,
141,2019/10/8,4:55 PM,Iam Bhisitkul,,37.0178,-122.0794,,,,,,19,360,
142,2019/10/30,1:46 PM,Eric Corona,Santa Cruz Beach; high school group or middle school group is here as well. Lovely day at Santa Cruz Beach.,36.9,-122,,,,"might have to throw out, for lack of detail in lat/lon",,142,2,
143,2019/10/30,2:26 PM,Eric Corona,"At a rest stop area along the coastline, where runners can rest. In view of the ocean, plants, on top of a cliff. ",36.9,-122,,,,"might have to throw out, for lack of detail in lat/lon",,44,3,
144,2019/10/30,2:53 PM,Eric Corona,"On a different beach this time, seems to be a dog beach, because there are a lot of dogs here, and a lot of people here, just roaming around with their dogs.",36.9,-122,,,,"might have to throw out, for lack of detail in lat/lon",,200,5,
145,2019/10/30,8:26 PM,Eric Corona,On a bench by the OPERS field at UCSC. There is currently training going on for a team.,36.9,-122,,,,"might have to throw out, for lack of detail in lat/lon",,99,201,
146,2019/10/30,3:30 PM,Eric Corona,On a bench by some trees around the recital hall area.,36.9932,-122.0604,,,,,,355,199,
147,2019/10/22,8:42 PM,Nick Uhlig,,36.9959,-122.0666,,,,,,58,226,
148,2019/10/23,12:13 PM,Nick Uhlig,"Behind the Core West parking lot, in the Redwoods.",36.9985,-122.0627,,,,,,254,232,
149,2019/10/24,4:02 PM,Nick Uhlig,"In some sort of depression or collapsed sinkhole or otherwise dip in the hill, most immediately behind the music center, in that stretch of meadow. ",36.9919,-122.0587,,,,,,20,190,
150,2019/10/26,9:37 PM,Nick Uhlig,Under the bridge between Kresge and Kerr Hall.,36.9964,-122.0645,,,,,,64,231,
151,2019/12/4,9:43 PM,Anthony Nechayev,"Right off a little cliff cropping off of East Cliff Drive, overlooking the ocean. ",36.9643,-122.0164,,,,,,225,0,
152,2019/12/4,9:48 PM,Anthony Nechayev,"Overlooking a cliff, overlooking the ocean, right off of East Cliff Drive, near Seabright.",36.9641,-122.0129,,,,,,180,0,
153,2019/12/5,6:59 PM,Anthony Nechayev,"Right to the left of the Porter Squiggle, on UCSC campus.",36.9928,-122.0646,,,,,,180,207,
154,2019/12/5,7:23 PM,Anthony Nechayev,In the plaza of Rachel Carson College.,36.9913,-122.0648,,,,,,315,188,
155,2019/12/5,8:13 PM,Anthony Nechayev,On the San Lorenzo River Bridge.,36.9694,-122.0230,,,,,,270,3,
156,2019/12/5,8:27 PM,Anthony Nechayev,"In front of Betty’s Noodle Shop, in the downtown area of Santa Cruz.",36.9708,-122.0253,,,,,,225,7,
157,2019/12/5,8:38 PM,Anthony Nechayev,In the record store in the downtown area of Santa Cruz,36.9707,-122.0256,,,,,,180,7,
158,2019/10/20,4:10 PM,Drew Towan,"Somewhere in a Creekbed behind the Porter Meadows, in the woods. ",36.9927,-122.0707,,,,,,320,,
159,2019/10/20,5:33 PM,Drew Towan,In the field across fro Oakes and Empire Grade. ,36.9827,-122.093,,,,,,31,,
160,2019/11/2,3:53 PM,Drew Towan,Somewhere off the Pogonip Trail.,36.9996,-122.0462,,,,,,224,,
161,2019/12/4,10:01 PM,Yafeet Garcia,"At the Rachel Carson College Garden, next to the succulents. ",36.9913,-122.0659,,,,,,314,195,
162,2019/12/4,10:19 PM,Yafeet Garcia,"Oakes field, near apartments, near a garden. Grass fields, pretty open, surrounded by trees. ",36.9885,-122.0626,,,,,,,176,
163,2019/12/5,1:56 PM,Yafeet Garcia,"Near College 9/10, under the bridge, surrounded by graffiti, at the highest point on a dirt pile. To the left a little river, to the right a caged-off tunnel. ",37.0001,-122.0598,,,,,,78,248,
164,2019/12/9,12:44 PM,Yafeet Garcia,"Back of the music center, in view of the bike trails. Its pretty nice out right now, fog everywhere, kinda pretty, beautiful. There’s a little pond, down atop this little hill. Birds everywhere right now. ",36.9913,-122.0606,,,,,,320,197,
165,2019/12/9,12:53 PM,Yafeet Garcia,"On a weird downhill, next to a body of water, not sure if it is a pond, I’m assuming it is though, based on the vegetation around it. There are a lot of bushes and stuff. There are a lot of birds and bird nests around it, and there’s also been deer coming here, drinking water, so I’m assuming its a source of water they tend to come to.  In a little ditch essentially, surrounded by walls or hills, at the very bottom of it. Really muddy, a lot of deer poop. ",36.9908,-122.0601,,,,,,323,192,
